land,city,balcony,living_space,total_rent,service_charge,base_rent,lift,pets_allowed,floor,no_rooms,garden,cellar,noParkSpaces
Brandenburg,Potsdam,True,22.0,640.0,115.0,525.0,True,no,3.0,1.0,False,False,1.0
Brandenburg,Elbe_Elster_Kreis,False,43.0,245.0,35.0,210.0,False,negotiable,1.0,2.0,True,True,0.0
Brandenburg,Potsdam,True,66.92,970.34,200.76,769.58,True,no,1.0,2.0,False,True,0.0
Brandenburg,Elbe_Elster_Kreis,True,58.63,414.85,79.74,335.11,False,negotiable,1.0,2.0,False,False,0.0
Brandenburg,Barnim_Kreis,False,47.29,481.0,56.0,425.0,False,yes,2.0,1.0,False,True,0.0
Brandenburg,Havelland_Kreis,True,56.21,699.0,130.0,569.0,False,negotiable,1.0,2.0,False,False,0.0
Brandenburg,Uckermark_Kreis,True,76.27,625.0,225.0,400.0,False,no,3.0,4.0,False,True,0.0
Brandenburg,Barnim_Kreis,True,87.0,1120.0,160.0,960.0,True,negotiable,1.0,3.0,False,False,1.0
Brandenburg,Potsdam,True,68.0,405.88,55.0,350.88,False,no,5.0,3.0,False,True,0.0
Brandenburg,Brandenburg_an_der_Havel,False,50.0,440.0,140.0,300.0,False,no,2.0,2.0,False,True,1.0
Brandenburg,Ostprignitz_Ruppin_Kreis,False,62.0,485.0,175.0,310.0,False,no,2.0,3.0,False,True,0.0
Brandenburg,Brandenburg_an_der_Havel,False,32.46,290.0,70.0,220.0,False,yes,1.0,1.0,False,True,0.0
Brandenburg,Potsdam_Mittelmark_Kreis,True,45.0,405.0,112.5,292.5,False,negotiable,3.0,2.0,False,True,0.0
Brandenburg,Oberspreewald_Lausitz_Kreis,False,72.8,530.0,180.0,350.0,False,negotiable,2.0,2.0,False,True,0.0
Brandenburg,Uckermark_Kreis,True,75.12,510.0,170.0,340.0,False,no,4.0,4.0,False,True,0.0
Brandenburg,Teltow_Fläming_Kreis,True,28.0,190.0,40.0,150.0,False,negotiable,1.0,1.0,False,True,0.0
Brandenburg,Havelland_Kreis,True,59.3,470.0,80.0,390.0,False,negotiable,3.0,3.0,False,True,0.0
Brandenburg,Cottbus,True,96.1,1135.25,251.25,884.0,True,no,1.0,3.0,False,True,0.0
Brandenburg,Ostprignitz_Ruppin_Kreis,False,41.0,530.0,100.0,430.0,False,negotiable,2.0,2.0,False,False,0.0
Brandenburg,Cottbus,True,57.19,449.24,174.73,274.51,False,no,4.0,3.0,False,False,0.0
